                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    127,                 1.2475,                0.73675,                0.90341,                0.75773,                0.82143,                0.84749,                0.58105,                  1.166,                0.77906,                0.87971,              0.0007526,              0.0007526,              0.0007526
                    128,                  1.046,                0.70667,                0.88734,                0.77499,                0.85714,                0.86523,                0.58375,                  1.219,                0.79845,                0.87775,              0.0007427,              0.0007427,              0.0007427
                    129,                 1.1132,                0.69056,                0.91316,                0.77499,                0.85714,                0.86523,                0.58375,                  1.219,                0.79845,                0.87775,              0.0007328,              0.0007328,              0.0007328
                    130,                  1.142,                0.67716,                0.91733,                0.77499,                0.85714,                0.86523,                0.58375,                  1.219,                0.79845,                0.87775,              0.0007229,              0.0007229,              0.0007229
                    131,                 0.9897,                0.62378,                0.89236,                0.77499,                0.85714,                0.86523,                0.58375,                  1.219,                0.79845,                0.87775,               0.000713,               0.000713,               0.000713
                    132,                 1.1571,                0.69946,                0.89209,                0.78397,                0.85714,                0.86823,                0.58358,                 1.1785,                0.83645,                0.87094,              0.0007031,              0.0007031,              0.0007031
                    133,                 1.4069,                0.76764,                0.90299,                0.78397,                0.85714,                0.86823,                0.58358,                 1.1785,                0.83645,                0.87094,              0.0006932,              0.0006932,              0.0006932
                    134,                 1.2203,                0.71144,                0.90497,                0.78397,                0.85714,                0.86823,                0.58358,                 1.1785,                0.83645,                0.87094,              0.0006833,              0.0006833,              0.0006833
                    135,                 1.0912,                0.68288,                0.92038,                0.78397,                0.85714,                0.86823,                0.58358,                 1.1785,                0.83645,                0.87094,              0.0006734,              0.0006734,              0.0006734
                    136,                 1.2055,                0.69454,                0.90586,                0.77775,                0.87485,                0.86732,                0.61715,                 1.1483,                0.95919,                0.86329,              0.0006635,              0.0006635,              0.0006635
                    137,                 1.3795,                0.70657,                0.89614,                0.77775,                0.87485,                0.86732,                0.61715,                 1.1483,                0.95919,                0.86329,              0.0006536,              0.0006536,              0.0006536
                    138,                 1.1176,                 0.7343,                0.89456,                0.77775,                0.87485,                0.86732,                0.61715,                 1.1483,                0.95919,                0.86329,              0.0006437,              0.0006437,              0.0006437
                    139,                 1.1256,                0.73994,                0.89161,                0.77775,                0.87485,                0.86732,                0.61715,                 1.1483,                0.95919,                0.86329,              0.0006338,              0.0006338,              0.0006338
                    140,                 1.1625,                0.72131,                0.88242,                0.73325,                0.88361,                 0.8712,                 0.6204,                 1.1391,                0.98303,                0.86119,              0.0006239,              0.0006239,              0.0006239
                    141,                 1.5806,                0.76509,                0.93655,                0.73325,                0.88361,                 0.8712,                 0.6204,                 1.1391,                0.98303,                0.86119,               0.000614,               0.000614,               0.000614
                    142,                 1.3676,                 0.7206,                0.90028,                0.73325,                0.88361,                 0.8712,                 0.6204,                 1.1391,                0.98303,                0.86119,              0.0006041,              0.0006041,              0.0006041
                    143,                 1.0808,                0.63919,                0.87382,                0.73325,                0.88361,                 0.8712,                 0.6204,                 1.1391,                0.98303,                0.86119,              0.0005942,              0.0005942,              0.0005942
                    144,                 1.0593,                0.64523,                0.90916,                0.73959,                0.91293,                0.85551,                0.57838,                 1.2453,                 1.0423,                0.87581,              0.0005843,              0.0005843,              0.0005843
                    145,                 1.4618,                0.76353,                0.89172,                0.73959,                0.91293,                0.85551,                0.57838,                 1.2453,                 1.0423,                0.87581,              0.0005744,              0.0005744,              0.0005744
                    146,                0.95119,                0.66198,                0.92389,                0.73959,                0.91293,                0.85551,                0.57838,                 1.2453,                 1.0423,                0.87581,              0.0005645,              0.0005645,              0.0005645
                    147,                  1.185,                0.67136,                0.90508,                0.73959,                0.91293,                0.85551,                0.57838,                 1.2453,                 1.0423,                0.87581,              0.0005546,              0.0005546,              0.0005546
                    148,                  1.028,                0.66139,                0.89433,                0.73769,                  0.904,                0.84749,                0.55558,                 1.2953,                 1.0354,                0.88242,              0.0005447,              0.0005447,              0.0005447
                    149,                 1.1537,                0.68462,                0.88992,                0.73769,                  0.904,                0.84749,                0.55558,                 1.2953,                 1.0354,                0.88242,              0.0005348,              0.0005348,              0.0005348
                    150,                 1.1529,                0.70608,                0.90169,                0.73769,                  0.904,                0.84749,                0.55558,                 1.2953,                 1.0354,                0.88242,              0.0005249,              0.0005249,              0.0005249
                    151,                 1.0707,                 0.6545,                0.88732,                0.73769,                  0.904,                0.84749,                0.55558,                 1.2953,                 1.0354,                0.88242,               0.000515,               0.000515,               0.000515
